"樓層數(ex 1, 1-1)",重新編碼,Text,價格,尺寸,品質,服務態度,舒適度,公關,代言,外觀,品牌,Sentiment,Sentiment_label,Sentiment_score
B2-26,B40,  amai+1！ 第一次帶我媽去買 她平常都買不到1000的鞋子 然後看到價格先唸我一波 但靴子穿了三年都沒壞 而且底很舒服 然結果平常都被老媽拿去穿了🤣,1,0,1,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.8357971906661987}",positive (stars 4 and 5),0.8357971906661987
B2-28,B42,  grace也跟D+AF很像 要看買的鞋款⋯ 之前買grace的鞋穿一次鞋底就掉了 超傻眼,0,0,1,0,0,0,0,0,grace,"{'label': 'positive (stars 4 and 5)', 'score': 0.7717459797859192}",positive (stars 4 and 5),0.7717459797859192
B2-29,B43,amai真的推爆,0,0,0,0,0,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.7569546103477478}",positive (stars 4 and 5),0.7569546103477478
B2-29,B43,The chuan也不錯,0,0,0,0,0,0,0,0,others,"{'label': 'positive (stars 4 and 5)', 'score': 0.9219009280204773}",positive (stars 4 and 5),0.9219009280204773
B2-30,B44,  我是大腳+蘿蔔⋯之前去D+AF完全找不到可以穿上腳的長靴 拉鍊甚至拉不上去🥲,0,1,0,0,0,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.8051468729972839}","negative (stars 1, 2 and 3)",-0.8051468729972839
B2-30,B44,之後去grace直接帶兩雙長靴回家 能穿上去覺得好感人🥹,0,1,0,0,0,0,0,0,grace,"{'label': 'positive (stars 4 and 5)', 'score': 0.9718518257141113}",positive (stars 4 and 5),0.9718518257141113
B2-31,B45,  grace很難穿⋯不信邪的大腳女子買了兩三次路過,0,1,0,0,1,0,0,0,grace,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.7649791240692139}","negative (stars 1, 2 and 3)",-0.7649791240692139
B2-32,B46,  我也是amai加1,0,0,0,0,0,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.5371445417404175}",positive (stars 4 and 5),0.5371445417404175
B2-33,B47,amai真的超讚😻上班穿站7小時都沒什麼問題 最近又回購一雙了😻,0,0,0,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9877888560295105}",positive (stars 4 and 5),0.9877888560295105
B2-34,B48,  amai是真的好穿 客服也很好 第一次網購買錯尺寸 客服也很積極協助換貨,0,0,0,1,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9897370934486389}",positive (stars 4 and 5),0.9897370934486389
B2-35,B49," -15 這雙我有買 出門兩個小時就不行了 好難穿腳好痛🥲 還要1千左右穿沒幾次就不穿了",0,0,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9442549347877502}","negative (stars 1, 2 and 3)",-0.9442549347877502
B2-37,B51,  amai好穿！,0,0,0,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.8987970948219299}",positive (stars 4 and 5),0.8987970948219299
B2-39,B53," -35 對！而且很詭異的事情是 其實穿了不適合走 每次行走的時候 腳指頭會一直往前衝 鞋子沒辦法好好的扒在我的腳上  而且這雙鞋我買了兩次 第一次買42 寬腳板不友善直接腳比鞋底大 第二次買43 剛剛好但就不扒腳（明明是合的） 本人真的很努力給他們家機會了⋯",0,1,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.7630630731582642}","negative (stars 1, 2 and 3)",-0.7630630731582642
B2-40,B54, -2 amai的鞋子還可以,0,0,0,0,0,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.7918064594268799}",positive (stars 4 and 5),0.7918064594268799
B2-40,B54,grace的鞋子好難穿,0,0,0,0,1,0,0,0,grace,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.8008729219436646}","negative (stars 1, 2 and 3)",-0.8008729219436646
B2-40,B54,只有好看而已🥹,0,0,0,0,0,0,0,1,grace,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.6694739460945129}","negative (stars 1, 2 and 3)",-0.6694739460945129
B2-41,B55,  之前為了演唱會站搖滾區特地去A家買一雙短靴，真的滿輕的，也不會磨腳,0,0,0,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9935708045959473}",positive (stars 4 and 5),0.9935708045959473
B2-42,B56, -40 grace的鞋子要碰運氣看款式,0,0,0,0,1,0,0,0,grace,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.5824108719825745}","negative (stars 1, 2 and 3)",-0.5824108719825745
B2-42,B56,所以我通常最後還是選amai😭,0,0,0,0,0,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.5959992408752441}",positive (stars 4 and 5),0.5959992408752441
B2-44,B58,  amai連體重破百的我穿都很舒服,0,0,0,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9523116946220398}",positive (stars 4 and 5),0.9523116946220398
B2-45,B59,amai的鞋真的舒服,0,0,0,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9779236912727356}",positive (stars 4 and 5),0.9779236912727356
B2-45,B59,但是都沒有到超好看🥹 最後只好妥協我覺得沒那麼好看的amai ,0,0,0,0,0,0,0,1,amai,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.5718774199485779}","negative (stars 1, 2 and 3)",-0.5718774199485779
B2-45,B59,每次被燒的鞋都是D+AF或是grace 的,0,0,0,0,0,0,0,1,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.5473544001579285}","negative (stars 1, 2 and 3)",-0.5473544001579285
B2-45,B59,每次被燒的鞋都是D+AF或是grace 的,0,0,0,0,0,0,0,1,grace,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.5473544001579285}","negative (stars 1, 2 and 3)",-0.5473544001579285
B2-45,B59,但是不太耐穿就下不了手,0,0,0,0,1,0,0,0,grace,"{'label': 'positive (stars 4 and 5)', 'score': 0.5910801291465759}",positive (stars 4 and 5),0.5910801291465759
B2-45,B59,但是不太耐穿就下不了手,0,0,0,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.5910801291465759}",positive (stars 4 and 5),0.5910801291465759
B2-46,B60, -25 是Ann’s！ 這家也超好穿我買四雙了🥹本身是扁平足 他們家的鞋底非常舒服！,0,0,0,0,1,0,0,0,ann,"{'label': 'positive (stars 4 and 5)', 'score': 0.9856054186820984}",positive (stars 4 and 5),0.9856054186820984
B2-47,B61,  沒錯 D+AF鞋子品質不好，涼鞋穿一個夏天帶子斷的還有靴子底部開口的，,0,0,1,0,0,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9423624277114868}","negative (stars 1, 2 and 3)",-0.9423624277114868
B2-47,B61,amai品質真的不錯，一雙短靴買了三年多也沒有以上那些問題到現在也滿好穿的！,0,0,1,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9937276840209961}",positive (stars 4 and 5),0.9937276840209961
B2-48,B62,"  我跟你同一雙哈哈哈 一樣開口笑，自己拿膠黏回去 結果某次穿出去，一趟路上2個鞋底都掉了 笑到我不行 而且附近就有門市 要不是我媽在旁邊，我真的想進去問問這鞋怎麼回事😂",0,0,1,0,0,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9762020707130432}","negative (stars 1, 2 and 3)",-0.9762020707130432
B2-49,B63,  grace一個月鞋底再見,0,0,1,0,0,0,0,0,grace,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.627960205078125}","negative (stars 1, 2 and 3)",-0.627960205078125
B2-51,B65,  之前買過grace的皮鞋 超磨腳 乾 超痛 穿半天腳快廢ㄌ,0,0,0,0,1,0,0,0,grace,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.8886426687240601}","negative (stars 1, 2 and 3)",-0.8886426687240601
B2-52,B66,  看到有人說 D+AF小編是美咖出來的⋯,0,0,0,0,0,1,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.8733314275741577}",positive (stars 4 and 5),0.8733314275741577
B2-53,B67, -13 真的好穿🥺已經有三雙靴子都是他家的了～以後要買靴子應該還是會去他家買,0,0,0,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9867532849311829}",positive (stars 4 and 5),0.9867532849311829
B2-55,B69,  amai 的鞋墊超軟 超好穿,0,0,0,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9849063754081726}",positive (stars 4 and 5),0.9849063754081726
B2-55,B69,同樣的鞋子之前去D+AF試穿 超硬,0,0,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.866294801235199}","negative (stars 1, 2 and 3)",-0.866294801235199
B2-56,B70,  推Ann’s買過好幾次也覺得超讚,0,0,0,0,0,0,0,0,ann,"{'label': 'positive (stars 4 and 5)', 'score': 0.9936205744743347}",positive (stars 4 and 5),0.9936205744743347
B2-57,B71,  我反而是覺得grace禮物那牌超雷🥹🥹,0,0,0,0,0,0,0,0,grace,"{'label': 'positive (stars 4 and 5)', 'score': 0.6008471250534058}",positive (stars 4 and 5),0.6008471250534058
B2-58,B72,"  但我買grace的哈利波特聯名 大概穿兩次中間的帶子就斷掉了 1500掰掰👋🥲",1,0,1,0,0,0,0,0,grace,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.7207641005516052}","negative (stars 1, 2 and 3)",-0.7207641005516052
B2-62,B76,  grace外觀好看,0,0,0,0,0,0,0,1,grace,"{'label': 'positive (stars 4 and 5)', 'score': 0.9483432173728943}",positive (stars 4 and 5),0.9483432173728943
B2-62,B76,鞋底好硬,0,0,0,0,1,0,0,0,grace,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.830346941947937}","negative (stars 1, 2 and 3)",-0.830346941947937
B2-63,B77,"  grace,買過 按照上面推薦尺寸購買 很難穿 穿一次忘記退貨 以很優惠價賣給朋友",0,0,0,0,1,0,0,0,grace,"{'label': 'positive (stars 4 and 5)', 'score': 0.5400696396827698}",positive (stars 4 and 5),0.5400696396827698
B2-64,B78,  我也大推amai！  六年前某天買了一雙amai 的鞋，真的舒服到炸🤯從沒想過高跟鞋也能穿的舒服…（我真的不浮誇） 所以一雙1500～2000元，我也買的不心疼！想買任何鞋款都會先去他們家找，至今已入手了五、六雙🤣,1,0,0,0,1,0,0,0,amai,"{'label': 'positive (stars 4 and 5)', 'score': 0.9834756851196289}",positive (stars 4 and 5),0.9834756851196289
B2-65,B79, -7 amai的鞋子我實測過！我穿著他們家的高跟涼鞋到處趴趴走還去了很多個海灘 完全沒事！我原本不知道他們家的鞋子那麼厲害 第一次穿去海邊的時候已經準備好以後肯定鞋子開口笑的覺悟 結果殊不知超耐穿！！,0,0,0,0,1,0,0,0,amai,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.6400920748710632}","negative (stars 1, 2 and 3)",-0.6400920748710632
B3,B80,之前經過評估後最後我選Gu 但我覺得他是最舒服的，可走多路，但久站我還是會酸,0,0,0,0,1,0,0,0,gu,"{'label': 'positive (stars 4 and 5)', 'score': 0.9609789252281189}",positive (stars 4 and 5),0.9609789252281189
B3,B80,雖然款式可能沒那麼好看,0,0,0,0,0,0,0,1,gu,"{'label': 'positive (stars 4 and 5)', 'score': 0.7667073607444763}",positive (stars 4 and 5),0.7667073607444763
B3-1,B81,  可是GU是不是只有分s m L沒有分鞋碼？,0,1,0,0,0,0,0,0,gu,"{'label': 'positive (stars 4 and 5)', 'score': 0.5705235004425049}",positive (stars 4 and 5),0.5705235004425049
B3-3,B83,  覺得Gu厲害！之前一雙靴子帶去日本穿 很ok 當然走久還是會累,0,0,0,0,1,0,0,0,gu,"{'label': 'positive (stars 4 and 5)', 'score': 0.9526641368865967}",positive (stars 4 and 5),0.9526641368865967
B4,B84,我買過一次！ 本來在淘寶上有看到同款 但想說會不會只是型一樣 可是品質比較好之類的 結果入手後穿起來超痛腳超臭⋯ 抱著實驗的心態還買了淘寶的同款 一對比根本一模一樣 發誓以後再買D+AF我就是盤子😻,0,0,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9789575338363647}","negative (stars 1, 2 and 3)",-0.9789575338363647
B4-3,B87, -1 鞋子真的會影響好嗎🌝,0,0,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.6474270820617676}","negative (stars 1, 2 and 3)",-0.6474270820617676
B4-4,B88, -1 如果鞋子不透氣讓汗都悶在裡面的話就會讓腳變臭喔～,0,0,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.6200819611549377}","negative (stars 1, 2 and 3)",-0.6200819611549377
B4-5,B89," -1 材質本身就會影響不管是氣味還是皮膚的健康 這就是為什麼我只選擇穿真皮的☺️ 大推 C&H(ig搜）全真皮 好穿又耐穿 cp 值超高!!",0,0,1,0,1,0,0,0,others,"{'label': 'positive (stars 4 and 5)', 'score': 0.9133318662643433}",positive (stars 4 and 5),0.9133318662643433
B4-6,B90,"   0-5 我也是在他們家買了兩雙鞋，都近2000元 一雙穿幾個月外皮剝落，幾乎快掉光 一雙穿完回家整個腳被皮的褪色染成黑的，好險有穿絲襪不至於洗不掉 發誓此生再也不買🙄🙄  雖然很喜歡舒華 但這個牌子支持不下去🙃",1,0,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9740059971809387}","negative (stars 1, 2 and 3)",-0.9740059971809387
B4-7,B91,  我去年買了四千多 很多雙 帶回家後每一雙都不耐走,1,0,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.8732008337974548}","negative (stars 1, 2 and 3)",-0.8732008337974548
B4-9,B93,  其實真皮也會腳臭（穿愛馬仕腳臭路過，但🐎穿起來很舒服,0,0,0,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.8305128216743469}",positive (stars 4 and 5),0.8305128216743469
B5,B96,"會不會是抄/拿回去打版的ㄚ（我對這個牌子不熟嗚嗚） 因為淘寶是真的蠻多服飾店賣很便宜好看的衣服  其實都是從價格比較高的網店抄過來的 現在更是有古著打版量產的現象⋯",0,0,0,0,0,0,0,1,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.6501981019973755}","negative (stars 1, 2 and 3)",-0.6501981019973755
B5-1,B97,  因為很多都是淘寶先出的 像這次的新款 淘寶早就有一樣的,0,0,0,0,0,0,0,1,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.5796549916267395}","negative (stars 1, 2 and 3)",-0.5796549916267395
B6,B98,我覺得 很好穿耶,0,0,0,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9190601706504822}",positive (stars 4 and 5),0.9190601706504822
B6-1,B99,"  這家的品質就是不太穩 有時候還不錯，有時候就會出包",0,0,1,0,0,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.5156154632568359}","negative (stars 1, 2 and 3)",-0.5156154632568359
B6-2,B100,  我也覺得好好穿 目前都沒有上述問題 而且也都蠻好看的🥺,0,0,0,0,1,0,0,1,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9539893865585327}",positive (stars 4 and 5),0.9539893865585327
B6-3,B101,"  我也覺得很好穿耶 我在想淘寶應該是外表一樣 可能工廠不同",0,0,0,0,1,0,0,1,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.8981411457061768}",positive (stars 4 and 5),0.8981411457061768
B6-4,B102,"  我前年買了一雙雨靴 到現在也都還在穿沒出問題過",0,0,0,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.8860816955566406}",positive (stars 4 and 5),0.8860816955566406
B6-5,B103,"  有買過一雙靴子 質感很驚人的爛 但就便宜 1500左右的靴子能好到哪 其它鞋我買也沒問題 而且便宜當雨鞋穿完全不心疼",1,0,1,0,0,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.771019697189331}","negative (stars 1, 2 and 3)",-0.771019697189331
B6-6,B104,  我認識有買這家的朋友鞋子都是一年內就壞掉 都是壞沒辦法修的那種程度,0,0,1,0,0,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9454131126403809}","negative (stars 1, 2 and 3)",-0.9454131126403809
B6-7,B105," -3  但我買淘寶的，比他們家好穿太多。",0,0,0,0,1,0,0,0,淘寶,"{'label': 'positive (stars 4 and 5)', 'score': 0.9219112396240234}",positive (stars 4 and 5),0.9219112396240234
B6-8,B106,    鞋底硬到爆,0,0,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9304985404014587}","negative (stars 1, 2 and 3)",-0.9304985404014587
B6-9,B107,  我目前買過3雙，都還可以，沒到非常好穿但至少沒有災情,0,0,0,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.6999542117118835}",positive (stars 4 and 5),0.6999542117118835
B6-10,B108,  我也覺得還不錯🤣我之前買了長靴 第一次穿直接去台北玩 瘋狂走路 腳都沒事,0,0,0,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9494736194610596}",positive (stars 4 and 5),0.9494736194610596
B6-11,B109,  我兩雙靴子穿三年ㄌ 依舊完好,0,0,0,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.952345073223114}",positive (stars 4 and 5),0.952345073223114
B6-12,B110,"  我也來這樓 四年前買一雙樂福鞋 現在還一尾活龍 甚至穿去韓國走5天四夜🫶",0,0,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.8768559098243713}","negative (stars 1, 2 and 3)",-0.8768559098243713
B6-13,B111,"  我也覺得蠻好穿 買了一雙涼鞋一雙靴子也都頭好壯壯 而且底軟 腳板寬大者友善",0,0,0,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9458392858505249}",positive (stars 4 and 5),0.9458392858505249
B6-14,B112,  我的靴子穿兩年了還沒壞！而且真的覺得蠻好穿的,0,0,0,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9727612733840942}",positive (stars 4 and 5),0.9727612733840942
B6-15,B113,  我的靴子半年就開口笑了  沒有淋過雨,0,0,1,0,0,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.8998751044273376}","negative (stars 1, 2 and 3)",-0.8998751044273376
B6-16,B114,  我目前買的也還沒出問題 雖然因為是靴子本來就悶 我也容易流腳汗穿完會腳臭🤣每次出門也怕厚底的部分哪天爆了怎麼辦,0,0,1,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.5118716359138489}","negative (stars 1, 2 and 3)",-0.5118716359138489
B6-17,B115," -4 今天穿雨靴的我表示： 雖然沒壞，可是超級磨腳，而且還是磨腳背",0,0,0,0,1,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.9254257678985596}","negative (stars 1, 2 and 3)",-0.9254257678985596
B6-18,B116,  原來不只有我覺得 而且我覺得款式也都很好看,0,0,0,0,0,0,0,1,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9711309671401978}",positive (stars 4 and 5),0.9711309671401978
B6-19,B117,  買了一雙娃娃鞋 很好穿！,0,0,0,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9726640582084656}",positive (stars 4 and 5),0.9726640582084656
B6-20,B118,  我也買了一雙長靴 覺得很好穿說 去嘉義玩三天穿著趴趴走都不會腳痛,0,0,1,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9869421124458313}",positive (stars 4 and 5),0.9869421124458313
B6-21,B119,  我也覺得很好穿 總共買了5雙沒有雷的,0,0,1,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9379390478134155}",positive (stars 4 and 5),0.9379390478134155
B6-22,B120,  我買一雙厚底的樂福鞋，穿了半年多目前都沒有問題，也不會難穿,0,0,1,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9746540784835815}",positive (stars 4 and 5),0.9746540784835815
B6-23,B121,我買了四五雙都沒這問題說…..,0,0,1,0,0,0,0,0,D+AF,"{'label': 'negative (stars 1, 2 and 3)', 'score': 0.8092162013053894}","negative (stars 1, 2 and 3)",-0.8092162013053894
B6-24,B122,  我的靴子們也是三年了好好的,0,0,1,0,0,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.6570923328399658}",positive (stars 4 and 5),0.6570923328399658
B6-25,B123,  老實說我也覺得一千左右這樣不糟啊,0,0,1,0,0,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.6021776795387268}",positive (stars 4 and 5),0.6021776795387268
B6-26,B124,  我買的幾雙鞋也是都穿很久 也都沒有問題耶,0,0,1,0,0,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9011991620063782}",positive (stars 4 and 5),0.9011991620063782
B6-27,B125,  我買了一雙厚底樂福鞋 我覺得超好穿欸！！！ 是看gina一直穿被燒到買的 也穿了滿久的應該有兩年 去日本也會穿完全沒問題很好走！,0,0,0,0,1,0,0,0,D+AF,"{'label': 'positive (stars 4 and 5)', 'score': 0.9890556335449219}",positive (stars 4 and 5),0.9890556335449219
